Date,Price,Open,High,Low,Vol.,Change %
2016-11-01,"5,502.38","5,402.40","5,583.50","5,138.90",19.41B,1.85%
2016-10-01,"5,402.44","5,525.20","5,578.90","5,347.30",15.67B,-2.22%
2016-09-01,"5,525.15","5,529.40","5,560.70","5,294.10",18.35B,-0.08%
2016-08-01,"5,529.41","5,644.00","5,691.80","5,510.20",17.85B,-2.03%
2016-07-01,"5,643.96","5,310.40","5,650.80","5,237.80",15.68B,6.28%
2016-06-01,"5,310.40","5,447.80","5,461.00","5,131.90",18.48B,-2.52%
2016-05-01,"5,447.80","5,316.00","5,489.80","5,253.20",18.53B,2.48%
2016-04-01,"5,316.00","5,151.80","5,342.90","4,975.70",15.68B,3.19%
2016-03-01,"5,151.79","4,947.90","5,272.10","4,936.60",20.74B,4.12%
2016-02-01,"4,947.94","5,056.60","5,122.10","4,762.10",20.81B,-2.15%
2016-01-01,"5,056.60","5,344.60","5,379.60","4,857.90",14.53B,-5.39%
2015-12-01,"5,344.56","5,218.20","5,372.00","4,963.86",16.79B,2.42%
2015-11-01,"5,218.19","5,288.60","5,361.40","5,041.60",17.85B,-1.33%
2015-10-01,"5,288.56","5,058.60","5,420.60","5,058.60",16.76B,4.55%
2015-09-01,"5,058.60","5,222.10","5,236.90","4,958.10",19.85B,-3.13%
2015-08-01,"5,222.08","5,681.70","5,710.80","4,936.30",18.81B,-8.09%
2015-07-01,"5,681.69","5,448.10","5,699.30","5,372.40",16.54B,4.23%
2015-06-01,"5,451.20","5,774.90","5,774.90","5,383.40",17.59B,-5.61%
2015-05-01,"5,774.95","5,773.70","5,886.20","5,580.40",17.04B,0.02%
2015-04-01,"5,773.67","5,861.90","5,963.50","5,734.70",14.69B,-1.51%
2015-03-01,"5,861.92","5,898.50","5,962.00","5,720.50",19.46B,-0.62%
2015-02-01,"5,898.48","5,551.60","5,917.10","5,551.60",18.30B,6.25%
2015-01-01,"5,551.58","5,388.60","5,579.40","5,248.50",15.01B,3.02%
2014-12-01,"5,388.60","5,298.10","5,458.30","5,121.70",17.62B,1.71%
2014-11-01,"5,298.11","5,505.00","5,523.50","5,281.40",15.11B,-3.76%
2014-10-01,"5,505.02","5,296.80","5,505.02","5,121.20",18.93B,3.93%
2014-09-01,"5,296.76","5,624.60","5,670.50","5,258.50",18.23B,-5.83%
2014-08-01,"5,624.57","5,623.10","5,672.30","5,419.70",17.10B,0.03%
2014-07-01,"5,623.12","5,382.00","5,633.30","5,361.40",16.37B,4.48%
2014-06-01,"5,382.03","5,466.30","5,506.00","5,354.70",16.92B,-1.68%
2014-05-01,"5,473.77","5,470.80","5,520.30","5,353.40",16.38B,0.06%
2014-04-01,"5,470.75","5,403.00","5,533.30","5,353.60",14.60B,1.25%
2014-03-01,"5,402.99","5,415.40","5,477.30","5,307.00",21.31B,-0.23%
2014-02-01,"5,415.45","5,205.10","5,471.80","5,072.70",19.12B,4.04%
2014-01-01,"5,205.10","5,353.10","5,383.40","5,174.40",15.32B,-2.76%
2013-12-01,"5,353.08","5,314.30","5,367.80","5,037.40",15.73B,0.73%
2013-11-01,"5,314.32","5,420.30","5,432.40","5,282.00",16.63B,-1.95%
2013-10-01,"5,420.28","5,217.70","5,453.10","5,118.00",18.00B,3.88%
2013-09-01,"5,217.74","5,125.30","5,307.70","5,113.80",19.35B,1.80%
2013-08-01,"5,125.30","5,035.70","5,151.60","4,993.20",20.22B,1.78%
2013-07-01,"5,035.66","4,775.40","5,077.30","4,682.40",19.54B,5.45%
2013-06-01,"4,775.41","4,914.00","4,915.00","4,610.60",20.22B,-2.82%
2013-05-01,"4,914.03","5,165.30","5,229.80","4,885.40",22.30B,-4.93%
2013-04-01,"5,168.60","4,979.90","5,171.20","4,891.60",18.02B,3.79%
2013-03-01,"4,979.87","5,120.40","5,174.40","4,944.50",18.55B,-2.74%
2013-02-01,"5,120.38","4,901.00","5,127.80","4,892.00",17.90B,4.48%
2013-01-01,"4,901.01","4,664.60","4,928.60","4,664.60",15.86B,5.07%
2012-12-01,"4,664.59","4,518.00","4,701.00","4,508.60",14.58B,3.24%
2012-11-01,"4,518.03","4,535.40","4,536.30","4,355.90",18.56B,-0.38%
2012-10-01,"4,535.36","4,406.30","4,602.50","4,394.60",17.54B,2.93%
2012-09-01,"4,406.34","4,333.80","4,443.20","4,281.50",19.79B,1.55%
2012-08-01,"4,339.02","4,289.40","4,430.30","4,235.10",20.53B,1.16%
2012-07-01,"4,289.38","4,135.50","4,305.60","4,100.00",17.02B,3.72%
2012-06-01,"4,135.46","4,133.70","4,202.60","4,033.40",19.89B,0.04%
2012-05-01,"4,133.73","4,468.80","4,515.00","4,077.40",22.83B,-7.46%
2012-04-01,"4,467.20","4,432.50","4,468.10","4,327.30",16.70B,1.07%
2012-03-01,"4,419.97","4,381.00","4,443.00","4,234.40",24.27B,0.73%
2012-02-01,"4,388.08","4,322.40","4,406.10","4,246.40",23.27B,1.44%
2012-01-01,"4,325.72","4,123.30","4,373.30","4,122.60",15.77B,5.22%
2011-12-01,"4,111.04","4,218.80","4,391.30","4,091.60",18.14B,-1.76%
2011-11-01,"4,184.67","4,342.90","4,424.00","4,047.40",21.97B,-4.03%
2011-10-01,"4,360.46","4,053.70","4,472.20","3,905.20",21.84B,7.13%
2011-09-01,"4,070.09","4,371.60","4,425.40","3,926.50",30.01B,-6.86%
2011-08-01,"4,369.85","4,515.00","4,589.60","3,829.40",33.03B,-2.90%
2011-07-01,"4,500.53","4,664.00","4,717.50","4,496.70",25.55B,-3.42%
2011-06-01,"4,659.79","4,791.60","4,804.10","4,508.00",27.26B,-2.70%
2011-05-01,"4,788.92","4,901.40","4,909.90","4,661.10",26.82B,-2.25%
2011-04-01,"4,899.05","4,927.90","5,069.50","4,869.30",21.82B,-0.60%
2011-03-01,"4,928.61","4,930.90","4,958.60","4,559.20",35.48B,0.12%
2011-02-01,"4,922.60","4,854.30","5,032.20","4,849.70",23.74B,1.50%
2011-01-01,"4,849.95","4,858.50","4,948.30","4,794.60",20.17B,0.06%
2010-12-01,"4,846.88","4,673.70","4,899.30","4,649.10",22.45B,3.64%
2010-11-01,"4,676.44","4,737.10","4,885.70","4,638.30",27.89B,-1.20%
2010-10-01,"4,733.41","4,645.50","4,794.50","4,615.00",26.37B,2.08%
2010-09-01,"4,636.86","4,447.00","4,743.30","4,447.00",28.88B,4.46%
2010-08-01,"4,438.84","4,508.90","4,618.80","4,350.80",28.10B,-1.52%
2010-07-01,"4,507.44","4,309.90","4,542.70","4,213.00",22.51B,4.22%
2010-06-01,"4,324.77","4,454.20","4,641.30","4,273.20",26.22B,-2.89%
2010-05-01,"4,453.59","4,812.50","4,824.80","4,194.40",33.68B,-7.87%
2010-04-01,"4,833.88","4,897.00","5,048.60","4,813.10",26.32B,-1.21%
2010-03-01,"4,893.06","4,647.00","4,940.90","4,647.00",31.03B,5.20%
2010-02-01,"4,651.11","4,596.20","4,732.70","4,483.30",24.72B,1.18%
2010-01-01,"4,596.88","4,877.70","4,984.00","4,592.90",20.31B,-5.85%
2009-12-01,"4,882.71","4,712.00","4,884.50","4,614.10",21.22B,3.55%
2009-11-01,"4,715.48","4,617.10","4,817.20","4,515.30",27.27B,1.48%
2009-10-01,"4,646.90","4,735.50","4,897.50","4,563.20",31.82B,-1.95%
2009-09-01,"4,739.30","4,481.60","4,761.80","4,412.40",37.99B,5.69%
2009-08-01,"4,484.10","4,251.50","4,540.20","4,250.20",41.63B,5.52%
2009-07-01,"4,249.50","3,934.40","4,251.80","3,710.10",27.51B,7.64%
2009-06-01,"3,947.80","3,813.20","4,078.30","3,766.60",33.21B,3.53%
2009-05-01,"3,813.30","3,736.90","3,941.70","3,703.70",29.41B,1.83%
2009-04-01,"3,744.70","3,533.50","3,795.90","3,503.80",23.98B,6.01%
2009-03-01,"3,532.30","3,283.40","3,645.80","3,090.80",27.63B,7.14%
2009-02-01,"3,296.90","3,460.00","3,516.40","3,255.00",19.08B,-5.21%
2009-01-01,"3,478.10","3,660.80","3,762.50","3,300.20",16.49B,-4.95%
2008-12-01,"3,659.30","3,669.80","3,670.30","3,418.70",19.24B,-0.36%
2008-11-01,"3,672.70","4,003.00","4,291.90","3,201.50",20.60B,-7.78%
2008-10-01,"3,982.70","4,662.40","4,843.50","3,693.90",23.31B,-14.00%
2008-09-01,"4,631.30","5,209.20","5,250.40","4,569.10",24.21B,-11.20%
2008-08-01,"5,215.50","5,047.40","5,220.00","4,829.20",19.23B,3.22%
2008-07-01,"5,052.60","5,345.80","5,351.40","4,880.00",21.41B,-5.26%
2008-06-01,"5,332.90","5,774.00","5,800.50","5,266.30",23.47B,-7.64%
2008-05-01,"5,773.90","5,654.20","6,059.50","5,605.10",21.16B,2.07%
2008-04-01,"5,657.00","5,416.10","5,735.80","5,359.30",19.04B,4.57%
2008-03-01,"5,409.70","5,639.30","5,640.00","5,130.10",21.28B,-4.67%
2008-02-01,"5,674.70","5,717.20","6,057.80","5,577.30",18.95B,-0.39%
2008-01-01,"5,697.00","6,418.60","6,462.80","5,222.00",20.54B,-11.28%
2007-12-01,"6,421.00","6,595.40","6,741.40","6,168.30",15.91B,-2.62%
2007-11-01,"6,593.60","6,799.50","6,873.20","6,373.40",18.07B,-2.74%
2007-10-01,"6,779.10","6,581.20","6,810.80","6,559.60",19.63B,3.01%
2007-09-01,"6,580.90","6,254.50","6,601.00","6,168.30",16.73B,5.32%
2007-08-01,"6,248.30","6,181.60","6,248.30","5,490.80",22.41B,0.98%
2007-07-01,"6,187.50","6,316.40","6,469.20","6,086.90",19.37B,-1.95%
2007-06-01,"6,310.60","6,348.30","6,435.70","6,200.10",20.38B,-0.49%
2007-05-01,"6,341.80","6,155.60","6,390.30","6,129.80",19.93B,2.98%
2007-04-01,"6,158.30","5,978.20","6,240.80","5,908.20",14.87B,3.00%
2007-03-01,"5,978.80","5,823.90","5,980.70","5,626.90",17.57B,2.79%
2007-02-01,"5,816.50","5,765.70","6,024.70","5,765.00",16.62B,1.02%
2007-01-01,"5,757.70","5,646.90","5,808.20","5,482.10",14.36B,2.01%
2006-12-01,"5,644.30","5,464.90","5,657.40","5,400.10",13.51B,3.35%
2006-11-01,"5,461.60","5,358.10","5,466.60","5,303.40",16.70B,2.03%
2006-10-01,"5,352.90","5,112.30","5,376.70","5,101.50",16.00B,4.69%
2006-09-01,"5,113.00","5,078.70","5,125.60","4,927.80",14.80B,0.65%
2006-08-01,"5,079.80","4,953.60","5,079.80","4,897.30",14.78B,2.48%
2006-07-01,"4,957.10","5,035.40","5,104.90","4,878.10",11.92B,-1.53%
2006-06-01,"5,034.00","4,986.60","5,082.20","4,726.00",14.61B,1.24%
2006-05-01,"4,972.30","5,219.70","5,352.10","4,939.40",15.66B,-4.51%
2006-04-01,"5,207.00","5,085.20","5,280.00","5,080.20",11.21B,2.35%
2006-03-01,"5,087.20","4,871.60","5,095.50","4,810.80",15.59B,4.28%
2006-02-01,"4,878.40","4,887.00","4,926.80","4,739.90",12.80B,-0.04%
2006-01-01,"4,880.20","4,707.80","4,912.80","4,698.20",10.99B,3.64%
2005-12-01,"4,708.80","4,575.50","4,718.30","4,506.30",10.78B,2.73%
2005-11-01,"4,583.60","4,416.60","4,621.90","4,395.10",12.97B,3.87%
2005-10-01,"4,412.70","4,593.60","4,601.50","4,277.00",12.10B,-3.92%
2005-09-01,"4,592.60","4,419.70","4,625.30","4,405.90",14.19B,4.06%
2005-08-01,"4,413.50","4,346.80","4,465.90","4,317.30",14.39B,1.54%
2005-07-01,"4,346.70","4,225.90","4,357.40","4,179.80",11.83B,2.76%
2005-06-01,"4,229.89","4,069.40","4,275.60","4,061.40",13.02B,3.92%
2005-05-01,"4,070.40","3,949.90","4,098.80","3,886.00",12.13B,3.23%
2005-04-01,"3,943.10","4,108.00","4,148.50","3,930.40",11.44B,-3.84%
2005-03-01,"4,100.60","4,156.90","4,255.80","4,051.50",12.84B,-1.34%
2005-02-01,"4,156.50","4,112.00","4,188.80","4,086.70",12.33B,1.21%
2005-01-01,"4,106.70","4,051.10","4,114.30","4,030.30",9.54B,1.32%
2004-12-01,"4,053.10","3,943.50","4,057.10","3,889.30",10.44B,2.80%
2004-11-01,"3,942.80","3,788.20","3,953.30","3,783.70",13.55B,4.13%
2004-10-01,"3,786.30","3,674.60","3,787.60","3,663.50",15.33B,3.04%
2004-09-01,"3,674.70","3,563.30","3,683.10","3,563.30",12.44B,3.17%
2004-08-01,"3,561.90","3,544.80","3,576.40","3,479.30",11.36B,0.45%
2004-07-01,"3,546.10","3,532.40","3,563.10","3,488.90",12.27B,0.45%
2004-06-01,"3,530.30","3,456.20","3,549.00","3,451.20",12.67B,2.12%
2004-05-01,"3,456.90","3,406.00","3,462.20","3,346.80",11.88B,1.44%
2004-04-01,"3,407.70","3,419.40","3,472.50","3,386.70",11.22B,-0.25%
2004-03-01,"3,416.20","3,376.50","3,448.50","3,375.80",13.57B,1.30%
2004-02-01,"3,372.50","3,284.90","3,372.70","3,266.80",10.49B,2.71%
2004-01-01,"3,283.60","3,305.30","3,357.10","3,271.20",10.22B,-0.68%
2003-12-01,"3,306.00","3,194.10","3,307.00","3,173.30",9.05B,3.45%
2003-11-01,"3,195.70","3,282.30","3,289.40","3,170.50",9.76B,-2.64%
2003-10-01,"3,282.40","3,175.10","3,317.50","3,159.80",13.47B,3.34%
2003-09-01,"3,176.20","3,206.10","3,249.80","3,162.50",13.25B,-0.83%
2003-08-01,"3,202.90","3,111.70","3,210.10","3,106.00",12.21B,3.10%
2003-07-01,"3,106.70","2,999.70","3,115.40","2,977.50",7.69B,3.57%
